,,50.80%,41.40%,32.50%,,,,32.50%,,
1493,Longest Subarray of 1's After Deleting One Element,60.10%,Medium,42.50%,41.40%,-1.88%,2,1.962,,
1530,Number of Good Leaf Nodes Pairs,60.10%,Medium,42.50%,41.40%,-1.88%,2,1.962,,
1765,Map of Highest Peak,60.10%,Medium,42.50%,41.40%,-1.88%,2,1.962,,
1781,Sum of Beauty of All Substrings,60.10%,Medium,42.50%,41.40%,-1.88%,2,1.962,,
435,Non-overlapping Intervals,48.80%,Medium,42.42%,41.40%,-1.74%,2,1.965,,
1057,Campus Bikes,57.90%,Medium,42.40%,41.40%,-1.70%,2,1.966,,1
2015,Average Height of Buildings in Each Segment,60.00%,Medium,42.40%,41.40%,-1.71%,2,1.966,,1
261,Graph Valid Tree,46.20%,Medium,42.37%,41.40%,-1.66%,2,1.967,,1
92,Reverse Linked List II,43.70%,Medium,42.35%,41.40%,-1.62%,2,1.968,,
291,Word Pattern II,46.60%,Medium,42.33%,41.40%,-1.59%,2,1.968,,1
1471,The k Strongest Values in an Array,59.90%,Medium,42.30%,41.40%,-1.54%,2,1.969,,
1481,Least Number of Unique Integers after K Removals,59.90%,Medium,42.30%,41.40%,-1.54%,2,1.969,,
1143,Longest Common Subsequence,59.00%,Medium,42.24%,41.40%,-1.43%,2,1.971,,
2285,Maximum Total Importance of Roads,59.80%,Medium,42.20%,41.40%,-1.37%,2,1.973,,
207,Course Schedule,45.20%,Medium,42.16%,41.40%,-1.30%,2,1.974,,
438,Find All Anagrams in a String,48.60%,Medium,42.18%,41.40%,-1.32%,2,1.974,,
1105,Filling Bookcase Shelves,58.30%,Medium,42.09%,41.40%,-1.18%,2,1.976,,
1324,Print Words Vertically,59.70%,Medium,42.10%,41.40%,-1.19%,2,1.976,,
833,Find And Replace in String,54.30%,Medium,42.08%,41.40%,-1.16%,2,1.977,,
1804,Implement Trie II (Prefix Tree),59.60%,Medium,42.00%,41.40%,-1.02%,2,1.980,,1
6,Zigzag Conversion,42.00%,Medium,41.91%,41.40%,-0.87%,2,1.983,,
376,Wiggle Subsequence,47.40%,Medium,41.89%,41.40%,-0.83%,2,1.983,,
487,Max Consecutive Ones II,49.00%,Medium,41.86%,41.40%,-0.78%,2,1.984,,1
1362,Closest Divisors,59.40%,Medium,41.80%,41.40%,-0.68%,2,1.986,,
1647,Minimum Deletions to Make Character Frequencies Unique,59.40%,Medium,41.80%,41.40%,-0.68%,2,1.986,,
1094,Car Pooling,57.80%,Medium,41.75%,41.40%,-0.61%,2,1.988,,
264,Ugly Number II,45.60%,Medium,41.73%,41.40%,-0.56%,2,1.989,,
1508,Range Sum of Sorted Subarray Sums,59.30%,Medium,41.70%,41.40%,-0.51%,2,1.990,,
2168,Unique Substrings With Equal Digit Frequency,59.30%,Medium,41.70%,41.40%,-0.51%,2,1.990,,1
296,Best Meeting Point,59.50%,Hard,55.16%,32.50%,-33.57%,3,1.993,,1
688,Knight Probability in Chessboard,51.70%,Medium,41.61%,41.40%,-0.36%,2,1.993,,
802,Find Eventual Safe States,53.30%,Medium,41.54%,41.40%,-0.23%,2,1.995,,
1760,Minimum Limit of Balls in a Bag,59.10%,Medium,41.50%,41.40%,-0.17%,2,1.997,,
1911,Maximum Alternating Subsequence Sum,59.10%,Medium,41.50%,41.40%,-0.17%,2,1.997,,
1333,"Filter Restaurants by Vegan-Friendly, Price and Distance",59.00%,Medium,41.40%,41.40%,0.00%,2,2.000,,
1372,Longest ZigZag Path in a Binary Tree,59.00%,Medium,41.40%,41.40%,0.00%,2,2.000,,
1644,Lowest Common Ancestor of a Binary Tree II,59.00%,Medium,41.40%,41.40%,0.00%,2,2.000,,1
2313,Minimum Flips in Binary Tree to Get Result,72.60%,Hard,55.00%,32.50%,-33.33%,3,2.000,,1
1052,Grumpy Bookstore Owner,56.80%,Medium,41.37%,41.40%,0.05%,2,2.001,,
54,Spiral Matrix,42.10%,Medium,41.31%,41.40%,0.16%,2,2.003,,
313,Super Ugly Number,45.90%,Medium,41.31%,41.40%,0.15%,2,2.003,,
443,String Compression,47.80%,Medium,41.30%,41.40%,0.17%,2,2.003,,
1248,Count Number of Nice Subarrays,58.90%,Medium,41.30%,41.40%,0.17%,2,2.003,,
1081,Smallest Subsequence of Distinct Characters,57.10%,Medium,41.25%,41.40%,0.26%,2,2.005,,
1267,Count Servers that Communicate,58.80%,Medium,41.20%,41.40%,0.34%,2,2.007,,
1690,Stone Game VII,58.80%,Medium,41.20%,41.40%,0.34%,2,2.007,,
1949,Strong Friendship,58.80%,Medium,41.20%,41.40%,0.34%,2,2.007,Sql,1
562,Longest Line of Consecutive One in Matrix,49.40%,Medium,41.16%,41.40%,0.41%,2,2.008,,1
875,Koko Eating Bananas,54.00%,Medium,41.17%,41.40%,0.40%,2,2.008,,
1255,Maximum Score Words Formed by Letters,72.40%,Hard,54.80%,32.50%,-33.04%,3,2.009,,
1402,Reducing Dishes,72.40%,Hard,54.80%,32.50%,-33.04%,3,2.009,,
150,Evaluate Reverse Polish Notation,43.30%,Medium,41.10%,41.40%,0.51%,2,2.010,,
1618,Maximum Font to Fit a Sentence in a Screen,58.70%,Medium,41.10%,41.40%,0.51%,2,2.010,,1
93,Restore IP Addresses,42.40%,Medium,41.04%,41.40%,0.62%,2,2.012,,
433,Minimum Genetic Mutation,47.40%,Medium,41.05%,41.40%,0.60%,2,2.012,,
767,Reorganize String,52.30%,Medium,41.05%,41.40%,0.60%,2,2.012,,
611,Valid Triangle Number,49.90%,Medium,40.94%,41.40%,0.79%,2,2.016,,
1366,Rank Teams by Votes,58.50%,Medium,40.90%,41.40%,0.85%,2,2.017,,
1583,Count Unhappy Friends,58.50%,Medium,40.90%,41.40%,0.85%,2,2.017,,
1885,Count Pairs in Two Arrays,58.50%,Medium,40.90%,41.40%,0.85%,2,2.017,,1
718,Maximum Length of Repeated Subarray,51.40%,Medium,40.87%,41.40%,0.91%,2,2.018,,
209,Minimum Size Subarray Sum,43.90%,Medium,40.83%,41.40%,0.96%,2,2.019,,
672,Bulb Switcher II,50.70%,Medium,40.84%,41.40%,0.95%,2,2.019,,
720,Longest Word in Dictionary,51.40%,Medium,40.84%,41.40%,0.96%,2,2.019,,
618,Students Report By Geography,63.60%,Hard,54.54%,32.50%,-32.65%,3,2.021,Sql,1
813,Largest Sum of Averages,52.70%,Medium,40.78%,41.40%,1.06%,2,2.021,,
549,Binary Tree Longest Consecutive Sequence II,48.80%,Medium,40.75%,41.40%,1.11%,2,2.022,,1
795,Number of Subarrays with Bounded Maximum,52.40%,Medium,40.74%,41.40%,1.13%,2,2.023,,
37,Sudoku Solver,55.00%,Hard,54.46%,32.50%,-32.53%,3,2.024,,
211,Design Add and Search Words Data Structure,43.80%,Medium,40.71%,41.40%,1.19%,2,2.024,,
1376,Time Needed to Inform All Employees,58.30%,Medium,40.70%,41.40%,1.19%,2,2.024,,
1846,Maximum Element After Decreasing and Rearranging,58.30%,Medium,40.70%,41.40%,1.19%,2,2.024,,
390,Elimination Game,46.40%,Medium,40.68%,41.40%,1.23%,2,2.025,,
1284,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,72.00%,Hard,54.40%,32.50%,-32.44%,3,2.027,,
1504,Count Submatrices With All Ones,58.20%,Medium,40.60%,41.40%,1.37%,2,2.027,,
1545,Find Kth Bit in Nth Binary String,58.20%,Medium,40.60%,41.40%,1.37%,2,2.027,,
221,Maximal Square,43.80%,Medium,40.56%,41.40%,1.44%,2,2.029,,
388,Longest Absolute File Path,46.20%,Medium,40.51%,41.40%,1.52%,2,2.030,,
416,Partition Equal Subset Sum,46.60%,Medium,40.50%,41.40%,1.54%,2,2.031,,
533,Lonely Pixel II,48.30%,Medium,40.48%,41.40%,1.57%,2,2.031,,1
785,Is Graph Bipartite?,52.00%,Medium,40.49%,41.40%,1.56%,2,2.031,,
1341,Movie Rating,58.10%,Medium,40.50%,41.40%,1.54%,2,2.031,Sql,1
2024,Maximize the Confusion of an Exam,58.10%,Medium,40.50%,41.40%,1.54%,2,2.031,,
963,Minimum Area Rectangle II,54.60%,Medium,40.48%,41.40%,1.58%,2,2.032,,
1319,Number of Operations to Make Network Connected,58.00%,Medium,40.40%,41.40%,1.71%,2,2.034,,
1908,Game of Nim,58.00%,Medium,40.40%,41.40%,1.71%,2,2.034,,1
2178,Maximum Split of Positive Even Integers,58.00%,Medium,40.40%,41.40%,1.71%,2,2.034,,
1040,Moving Stones Until Consecutive II,55.60%,Medium,40.35%,41.40%,1.80%,2,2.036,,
2204,Distance to a Cycle in Undirected Graph,71.80%,Hard,54.20%,32.50%,-32.15%,3,2.036,,1
1868,Product of Two Run-Length Encoded Arrays,57.90%,Medium,40.30%,41.40%,1.88%,2,2.038,,1
375,Guess Number Higher or Lower II,45.70%,Medium,40.20%,41.40%,2.05%,2,2.041,,
838,Push Dominoes,52.50%,Medium,40.21%,41.40%,2.03%,2,2.041,,
1501,Countries You Can Safely Invest In,57.80%,Medium,40.20%,41.40%,2.05%,2,2.041,Sql,1
1653,Minimum Deletions to Make String Balanced,57.80%,Medium,40.20%,41.40%,2.05%,2,2.041,,
1695,Maximum Erasure Value,57.80%,Medium,40.20%,41.40%,2.05%,2,2.041,,
1041,Robot Bounded In Circle,55.40%,Medium,40.13%,41.40%,2.16%,2,2.043,,
1456,Maximum Number of Vowels in a Substring of Given Length,57.70%,Medium,40.10%,41.40%,2.22%,2,2.044,,
2091,Removing Minimum and Maximum From Array,57.70%,Medium,40.10%,41.40%,2.22%,2,2.044,,
1749,Maximum Absolute Sum of Any Subarray,57.60%,Medium,40.00%,41.40%,2.39%,2,2.048,,
2107,Number of Unique Flavors After Sharing K Candies,57.60%,Medium,40.00%,41.40%,2.39%,2,2.048,,1
1006,Clumsy Factorial,54.70%,Medium,39.95%,41.40%,2.48%,2,2.050,,
34,Find First and Last Position of Element in Sorted Array,40.40%,Medium,39.90%,41.40%,2.56%,2,2.051,,
1212,Team Scores in Football Tournament,57.50%,Medium,39.90%,41.40%,2.56%,2,2.051,Sql,1
1615,Maximal Network Rank,57.50%,Medium,39.90%,41.40%,2.56%,2,2.051,,
1679,Max Number of K-Sum Pairs,57.50%,Medium,39.90%,41.40%,2.56%,2,2.051,,
1841,League Statistics,57.50%,Medium,39.90%,41.40%,2.56%,2,2.051,Sql,1
470,Implement Rand10() Using Rand7(),46.70%,Medium,39.81%,41.40%,2.72%,2,2.054,,
1288,Remove Covered Intervals,57.40%,Medium,39.80%,41.40%,2.73%,2,2.055,,
2058,Find the Minimum and Maximum Number of Nodes Between Critical Points,57.40%,Medium,39.80%,41.40%,2.73%,2,2.055,,
939,Minimum Area Rectangle,53.50%,Medium,39.73%,41.40%,2.85%,2,2.057,,
743,Network Delay Time,50.60%,Medium,39.70%,41.40%,2.90%,2,2.058,,
2093,Minimum Cost to Reach City With Discounts,57.30%,Medium,39.70%,41.40%,2.90%,2,2.058,,1
622,Design Circular Queue,48.80%,Medium,39.68%,41.40%,2.94%,2,2.059,,
229,Majority Element II,43.00%,Medium,39.64%,41.40%,3.00%,2,2.060,,
474,Ones and Zeroes,46.60%,Medium,39.65%,41.40%,2.99%,2,2.060,,
958,Check Completeness of a Binary Tree,53.70%,Medium,39.65%,41.40%,2.99%,2,2.060,,
934,Shortest Bridge,53.30%,Medium,39.60%,41.40%,3.07%,2,2.061,,
1202,Smallest String With Swaps,57.20%,Medium,39.60%,41.40%,3.07%,2,2.061,,
1962,Remove Stones to Minimize the Total,57.20%,Medium,39.60%,41.40%,3.07%,2,2.061,,
272,Closest Binary Search Tree Value II,57.60%,Hard,53.61%,32.50%,-31.28%,3,2.062,,1
881,Boats to Save People,52.50%,Medium,39.58%,41.40%,3.11%,2,2.062,,
991,Broken Calculator,54.10%,Medium,39.57%,41.40%,3.13%,2,2.063,,
799,Champagne Tower,51.20%,Medium,39.48%,41.40%,3.27%,2,2.065,,
1226,The Dining Philosophers,57.10%,Medium,39.50%,41.40%,3.24%,2,2.065,Thread,
316,Remove Duplicate Letters,44.10%,Medium,39.47%,41.40%,3.30%,2,2.066,,
895,Maximum Frequency Stack,66.60%,Hard,53.47%,32.50%,-31.07%,3,2.068,,
2038,Remove Colored Pieces if Both Neighbors are the Same Color,57.00%,Medium,39.40%,41.40%,3.41%,2,2.068,,
616,Add Bold Tag in String,48.40%,Medium,39.37%,41.40%,3.47%,2,2.069,,1
758,Bold Words in String,50.40%,Medium,39.28%,41.40%,3.61%,2,2.072,,1
1405,Longest Happy String,56.90%,Medium,39.30%,41.40%,3.58%,2,2.072,,
2077,Paths in Maze That Lead to Same Room,56.90%,Medium,39.30%,41.40%,3.58%,2,2.072,,1
276,Paint Fence,43.30%,Medium,39.25%,41.40%,3.67%,2,2.073,,1
1060,Missing Element in Sorted Array,54.80%,Medium,39.25%,41.40%,3.66%,2,2.073,,1
558,Logical OR of Two Binary Grids Represented as Quad-Trees,47.40%,Medium,39.22%,41.40%,3.73%,2,2.075,,
1258,Synonymous Sentences,56.80%,Medium,39.20%,41.40%,3.75%,2,2.075,,1
1461,Check If a String Contains All Binary Codes of Size K,56.80%,Medium,39.20%,41.40%,3.75%,2,2.075,,
2295,Replace Elements in an Array,56.80%,Medium,39.20%,41.40%,3.75%,2,2.075,,
1452,People Whose List of Favorite Companies Is Not a Subset of Another List,56.70%,Medium,39.10%,41.40%,3.92%,2,2.078,,
1482,Minimum Number of Days to Make m Bouquets,56.70%,Medium,39.10%,41.40%,3.92%,2,2.078,,
792,Number of Matching Subsequences,50.70%,Medium,39.08%,41.40%,3.95%,2,2.079,,
201,Bitwise AND of Numbers Range,42.00%,Medium,39.05%,41.40%,4.01%,2,2.080,,
1066,Campus Bikes II,54.70%,Medium,39.07%,41.40%,3.98%,2,2.080,,1
302,Smallest Rectangle Enclosing Black Pixels,57.60%,Hard,53.17%,32.50%,-30.62%,3,2.081,,1
2,Add Two Numbers,39.00%,Medium,38.97%,41.40%,4.15%,2,2.083,,
916,Word Subsets,52.40%,Medium,38.97%,41.40%,4.15%,2,2.083,,
331,Verify Preorder Serialization of a Binary Tree,43.80%,Medium,38.95%,41.40%,4.19%,2,2.084,,
395,Longest Substring with At Least K Repeating Characters,44.70%,Medium,38.91%,41.40%,4.25%,2,2.085,,
974,Subarray Sums Divisible by K,53.20%,Medium,38.91%,41.40%,4.24%,2,2.085,,
1296,Divide Array in Sets of K Consecutive Numbers,56.50%,Medium,38.90%,41.40%,4.27%,2,2.085,,
525,Contiguous Array,46.50%,Medium,38.80%,41.40%,4.44%,2,2.089,,
1463,Cherry Pickup II,70.60%,Hard,53.00%,32.50%,-30.37%,3,2.089,,
2214,Minimum Health to Beat Game,56.40%,Medium,38.80%,41.40%,4.44%,2,2.089,,1
79,Word Search,39.90%,Medium,38.74%,41.40%,4.54%,2,2.091,,
870,Advantage Shuffle,51.40%,Medium,38.64%,41.40%,4.71%,2,2.094,,
172,Factorial Trailing Zeroes,41.10%,Medium,38.58%,41.40%,4.82%,2,2.096,,
1010,Pairs of Songs With Total Durations Divisible by 60,53.40%,Medium,38.59%,41.40%,4.80%,2,2.096,,
2095,Delete the Middle Node of a Linked List,56.20%,Medium,38.60%,41.40%,4.78%,2,2.096,,
1209,Remove All Adjacent Duplicates in String II,56.10%,Medium,38.50%,41.40%,4.95%,2,2.099,,
2110,Number of Smooth Descent Periods of a Stock,56.10%,Medium,38.50%,41.40%,4.95%,2,2.099,,
227,Basic Calculator II,41.80%,Medium,38.47%,41.40%,5.00%,2,2.100,,
528,Random Pick with Weight,46.20%,Medium,38.46%,41.40%,5.02%,2,2.100,,
19,Remove Nth Node From End of List,38.70%,Medium,38.42%,41.40%,5.08%,2,2.102,,
1117,Building H2O,54.80%,Medium,38.42%,41.40%,5.09%,2,2.102,Thread,
2109,Adding Spaces to a String,56.00%,Medium,38.40%,41.40%,5.12%,2,2.102,,
911,Online Election,51.70%,Medium,38.34%,41.40%,5.22%,2,2.104,,
1670,Design Front Middle Back Queue,55.90%,Medium,38.30%,41.40%,5.29%,2,2.106,,
2240,Number of Ways to Buy Pens and Pencils,55.90%,Medium,38.30%,41.40%,5.29%,2,2.106,,
1443,Minimum Time to Collect All Apples in a Tree,55.80%,Medium,38.20%,41.40%,5.46%,2,2.109,,
1552,Magnetic Force Between Two Balls,55.80%,Medium,38.20%,41.40%,5.46%,2,2.109,,
494,Target Sum,45.40%,Medium,38.15%,41.40%,5.54%,2,2.111,,
981,Time Based Key-Value Store,52.50%,Medium,38.11%,41.40%,5.61%,2,2.112,,
2198,Number of Single Divisor Triplets,55.70%,Medium,38.10%,41.40%,5.63%,2,2.113,,1
146,LRU Cache,40.20%,Medium,38.06%,41.40%,5.70%,2,2.114,,
1944,Number of Visible People in a Queue,70.00%,Hard,52.40%,32.50%,-29.48%,3,2.116,,
71,Simplify Path,39.00%,Medium,37.96%,41.40%,5.87%,2,2.117,,
670,Maximum Swap,47.70%,Medium,37.87%,41.40%,6.02%,2,2.120,,
1039,Minimum Score Triangulation of Polygon,53.10%,Medium,37.86%,41.40%,6.04%,2,2.121,,
786,K-th Smallest Prime Fraction,49.30%,Medium,37.77%,41.40%,6.19%,2,2.124,,
1007,Minimum Domino Rotations For Equal Row,52.50%,Medium,37.73%,41.40%,6.26%,2,2.125,,
527,Word Abbreviation,59.90%,Hard,52.17%,32.50%,-29.14%,3,2.126,,1
1229,Meeting Scheduler,55.30%,Medium,37.70%,41.40%,6.31%,2,2.126,,1
2244,Minimum Rounds to Complete All Tasks,55.30%,Medium,37.70%,41.40%,6.31%,2,2.126,,
63,Unique Paths II,38.60%,Medium,37.68%,41.40%,6.35%,2,2.127,,
33,Search in Rotated Sorted Array,38.10%,Medium,37.62%,41.40%,6.46%,2,2.129,,
737,Sentence Similarity II,48.40%,Medium,37.59%,41.40%,6.50%,2,2.130,,1
773,Sliding Puzzle,63.40%,Hard,52.06%,32.50%,-28.98%,3,2.131,,
312,Burst Balloons,56.60%,Hard,52.02%,32.50%,-28.92%,3,2.132,,
1503,Last Moment Before All Ants Fall Out of a Plank,55.10%,Medium,37.50%,41.40%,6.66%,2,2.133,,
1509,Minimum Difference Between Largest and Smallest Value in Three Moves,55.10%,Medium,37.50%,41.40%,6.66%,2,2.133,,
1631,Path With Minimum Effort,55.10%,Medium,37.50%,41.40%,6.66%,2,2.133,,
2284,Sender With Largest Word Count,55.10%,Medium,37.50%,41.40%,6.66%,2,2.133,,
43,Multiply Strings,38.10%,Medium,37.47%,41.40%,6.71%,2,2.134,,
2061,Number of Spaces Cleaning Robot Cleaned,55.00%,Medium,37.40%,41.40%,6.83%,2,2.137,,1
966,Vowel Spellchecker,51.50%,Medium,37.33%,41.40%,6.94%,2,2.139,,
994,Rotting Oranges,51.90%,Medium,37.32%,41.40%,6.96%,2,2.139,,
55,Jump Game,38.10%,Medium,37.29%,41.40%,7.01%,2,2.140,,
764,Largest Plus Sign,48.50%,Medium,37.29%,41.40%,7.01%,2,2.140,,
1797,Design Authentication Manager,54.90%,Medium,37.30%,41.40%,7.00%,2,2.140,,
1369,Get the Second Most Recent Activity,69.40%,Hard,51.80%,32.50%,-28.59%,3,2.142,Sql,1
223,Rectangle Area,40.40%,Medium,37.13%,41.40%,7.29%,2,2.146,,
1593,Split a String Into the Max Number of Unique Substrings,54.70%,Medium,37.10%,41.40%,7.34%,2,2.147,,
2063,Vowels of All Substrings,54.70%,Medium,37.10%,41.40%,7.34%,2,2.147,,
213,House Robber II,40.20%,Medium,37.08%,41.40%,7.38%,2,2.148,,
18,4Sum,37.30%,Medium,37.04%,41.40%,7.45%,2,2.149,,
45,Jump Game II,37.70%,Medium,37.04%,41.40%,7.44%,2,2.149,,
1102,Path With Maximum Minimum Value,53.20%,Medium,37.04%,41.40%,7.44%,2,2.149,,1
25,Reverse Nodes in k-Group,51.90%,Hard,51.53%,32.50%,-28.20%,3,2.154,,
1283,Find the Smallest Divisor Given a Threshold,54.50%,Medium,36.90%,41.40%,7.68%,2,2.154,,
1983,Widest Pair of Indices With Equal Range Sum,54.50%,Medium,36.90%,41.40%,7.68%,2,2.154,,1
1657,Determine if Two Strings Are Close,54.40%,Medium,36.80%,41.40%,7.85%,2,2.157,,
2184,Number of Ways to Build Sturdy Brick Wall,54.40%,Medium,36.80%,41.40%,7.85%,2,2.157,,1
2201,Count Artifacts That Can Be Extracted,54.40%,Medium,36.80%,41.40%,7.85%,2,2.157,,
57,Insert Interval,37.60%,Medium,36.76%,41.40%,7.91%,2,2.158,,
1182,Shortest Distance to Target Color,54.10%,Medium,36.76%,41.40%,7.91%,2,2.158,,1
333,Largest BST Subtree,41.60%,Medium,36.72%,41.40%,7.99%,2,2.160,,1
334,Increasing Triplet Subsequence,41.60%,Medium,36.70%,41.40%,8.02%,2,2.160,,
1730,Shortest Path to Get Food,54.30%,Medium,36.70%,41.40%,8.02%,2,2.160,,1
1274,Number of Ships in a Rectangle,68.90%,Hard,51.30%,32.50%,-27.85%,3,2.164,,1
790,Domino and Tromino Tiling,48.10%,Medium,36.51%,41.40%,8.34%,2,2.167,,
681,Next Closest Time,46.40%,Medium,36.41%,41.40%,8.51%,2,2.170,,1
853,Car Fleet,48.90%,Medium,36.39%,41.40%,8.55%,2,2.171,,
1686,Stone Game VI,54.00%,Medium,36.40%,41.40%,8.53%,2,2.171,,
1810,Minimum Path Cost in a Hidden Grid,54.00%,Medium,36.40%,41.40%,8.53%,2,2.171,,1
1080,Insufficient Nodes in Root to Leaf Paths,52.20%,Medium,36.36%,41.40%,8.60%,2,2.172,,
1049,Last Stone Weight II,51.60%,Medium,36.21%,41.40%,8.85%,2,2.177,,
31,Next Permutation,36.60%,Medium,36.15%,41.40%,8.97%,2,2.179,,
659,Split Array into Consecutive Subsequences,45.80%,Medium,36.13%,41.40%,8.99%,2,2.180,,
267,Palindrome Permutation II,40.00%,Medium,36.08%,41.40%,9.07%,2,2.181,,1
1634,Add Two Polynomials Represented as Linked Lists,53.70%,Medium,36.10%,41.40%,9.04%,2,2.181,,1
1901,Find a Peak Element II,53.70%,Medium,36.10%,41.40%,9.04%,2,2.181,,
322,Coin Change,40.80%,Medium,36.08%,41.40%,9.08%,2,2.182,,
738,Monotone Increasing Digits,46.90%,Medium,36.08%,41.40%,9.09%,2,2.182,,
189,Rotate Array,38.80%,Medium,36.03%,41.40%,9.17%,2,2.183,,
542,01 Matrix,44.00%,Medium,36.05%,41.40%,9.13%,2,2.183,,
560,Subarray Sum Equals K,44.20%,Medium,35.99%,41.40%,9.24%,2,2.185,,
567,Permutation in String,44.30%,Medium,35.98%,41.40%,9.24%,2,2.185,,
550,Game Play Analysis IV,44.00%,Medium,35.93%,41.40%,9.33%,2,2.187,Sql,1
990,Satisfiability of Equality Equations,50.40%,Medium,35.88%,41.40%,9.42%,2,2.188,,
930,Binary Subarrays With Sum,49.50%,Medium,35.86%,41.40%,9.45%,2,2.189,,
1053,Previous Permutation With One Swap,51.30%,Medium,35.86%,41.40%,9.46%,2,2.189,,
873,Length of Longest Fibonacci Subsequence,48.60%,Medium,35.80%,41.40%,9.56%,2,2.191,,
1989,Maximum Number of People That Can Be Caught in Tag,53.40%,Medium,35.80%,41.40%,9.56%,2,2.191,,1
1074,Number of Submatrices That Sum to Target,66.40%,Hard,50.65%,32.50%,-26.89%,3,2.193,,
545,Boundary of Binary Tree,43.70%,Medium,35.71%,41.40%,9.72%,2,2.194,,1
971,Flip Binary Tree To Match Preorder Traversal,49.90%,Medium,35.66%,41.40%,9.80%,2,2.196,,
1526,Minimum Number of Increments on Subarrays to Form a Target Array,68.20%,Hard,50.60%,32.50%,-26.81%,3,2.196,,
935,Knight Dialer,49.30%,Medium,35.59%,41.40%,9.92%,2,2.198,,
1138,Alphabet Board Path,52.30%,Medium,35.61%,41.40%,9.88%,2,2.198,,
1555,Bank Account Summary,53.20%,Medium,35.60%,41.40%,9.90%,2,2.198,Sql,1
1609,Even Odd Tree,53.20%,Medium,35.60%,41.40%,9.90%,2,2.198,,
2002,Maximum Product of the Length of Two Palindromic Subsequences,53.10%,Medium,35.50%,41.40%,10.07%,2,2.201,,
2260,Minimum Consecutive Cards to Pick Up,53.10%,Medium,35.50%,41.40%,10.07%,2,2.201,,
72,Edit Distance,51.50%,Hard,50.44%,32.50%,-26.58%,3,2.202,,
945,Minimum Increment to Make Array Unique,49.30%,Medium,35.44%,41.40%,10.17%,2,2.203,,
2277,Closest Node to Path in Tree,68.00%,Hard,50.40%,32.50%,-26.52%,3,2.204,,1
368,Largest Divisible Subset,40.80%,Medium,35.40%,41.40%,10.23%,2,2.205,,
1764,Form Array by Concatenating Subarrays of Another Array,53.00%,Medium,35.40%,41.40%,10.24%,2,2.205,,
1798,Maximum Number of Consecutive Values You Can Make,53.00%,Medium,35.40%,41.40%,10.24%,2,2.205,,
593,Valid Square,44.00%,Medium,35.30%,41.40%,10.41%,2,2.208,,
1230,Toss Strange Coins,52.90%,Medium,35.30%,41.40%,10.41%,2,2.208,,1
1918,Kth Smallest Subarray Sum,52.90%,Medium,35.30%,41.40%,10.41%,2,2.208,,1
555,Split Concatenated Strings,43.40%,Medium,35.26%,41.40%,10.48%,2,2.210,,1
1292,Maximum Side Length of a Square with Sum Less than or Equal to Threshold,52.80%,Medium,35.20%,41.40%,10.58%,2,2.212,,
2031,Count Subarrays With More Ones Than Zeros,52.80%,Medium,35.20%,41.40%,10.58%,2,2.212,,1
271,Encode and Decode Strings,39.10%,Medium,35.13%,41.40%,10.71%,2,2.214,,1
1428,Leftmost Column with at Least a One,52.70%,Medium,35.10%,41.40%,10.75%,2,2.215,,1
1954,Minimum Garden Perimeter to Collect Enough Apples,52.70%,Medium,35.10%,41.40%,10.75%,2,2.215,,
915,Partition Array into Disjoint Intervals,48.50%,Medium,35.08%,41.40%,10.78%,2,2.216,,
1024,Video Stitching,50.10%,Medium,35.08%,41.40%,10.78%,2,2.216,,
658,Find K Closest Elements,44.70%,Medium,35.05%,41.40%,10.84%,2,2.217,,
849,Maximize Distance to Closest Person,47.50%,Medium,35.05%,41.40%,10.84%,2,2.217,,
1680,Concatenation of Consecutive Binary Numbers,52.60%,Medium,35.00%,41.40%,10.92%,2,2.218,,
2136,Earliest Possible Day of Full Bloom,67.70%,Hard,50.10%,32.50%,-26.07%,3,2.218,,
1410,HTML Entity Parser,52.50%,Medium,34.90%,41.40%,11.09%,2,2.222,,
1429,First Unique Number,52.50%,Medium,34.90%,41.40%,11.09%,2,2.222,,1
632,Smallest Range Covering Elements from K Lists,59.20%,Hard,49.93%,32.50%,-25.82%,3,2.225,,
742,Closest Leaf in a Binary Tree,45.70%,Medium,34.82%,41.40%,11.23%,2,2.225,,1
886,Possible Bipartition,47.80%,Medium,34.81%,41.40%,11.25%,2,2.225,,
1042,Flower Planting With No Adjacent,50.10%,Medium,34.82%,41.40%,11.23%,2,2.225,,
1423,Maximum Points You Can Obtain from Cards,52.40%,Medium,34.80%,41.40%,11.26%,2,2.225,,
755,Pour Water,45.80%,Medium,34.73%,41.40%,11.39%,2,2.228,,1
297,Serialize and Deserialize Binary Tree,54.20%,Hard,49.84%,32.50%,-25.69%,3,2.229,,
1788,Maximize the Beauty of the Garden,67.40%,Hard,49.80%,32.50%,-25.63%,3,2.231,,1
1297,Maximum Number of Occurrences of a Substring,52.20%,Medium,34.60%,41.40%,11.60%,2,2.232,,
1328,Break a Palindrome,52.20%,Medium,34.60%,41.40%,11.60%,2,2.232,,
2274,Maximum Consecutive Floors Without Special Floors,52.20%,Medium,34.60%,41.40%,11.60%,2,2.232,,
809,Expressive Words,46.40%,Medium,34.53%,41.40%,11.72%,2,2.234,,
81,Search in Rotated Sorted Array II,35.70%,Medium,34.51%,41.40%,11.75%,2,2.235,,
